isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
Gran Canaria,14,129,28.110808,-15.583831,2021-01-28 11:59:53,2024-11-17 11:27:31,0.0,0.9612403100775194,0.03875968992248062,0.9612403100775194,0.0,124,0,4,1,0.9612403100775194,187.53428410375412
Gran Canaria,40,129,28.13923,-15.632617,2021-05-19 09:55:00,2024-06-02 20:00:12,0.9612403100775194,0.03875968992248062,0.0,0.03875968992248062,0.9612403100775194,5,124,1,4,-0.9224806201550388,29.86697749162778
Gran Canaria,4,121,27.995011,-15.615239,2021-01-16 16:26:54,2026-02-21 12:44:53,0.14049586776859505,0.7603305785123967,0.09917355371900827,0.7603305785123967,0.14049586776859505,92,17,4,1,0.6198347107438017,187.9267663233185
Gran Canaria,45,120,27.9058,-15.446331,2021-06-09 14:26:22,2025-12-24 09:20:29,0.20833333333333334,0.7166666666666667,0.075,0.7166666666666667,0.20833333333333334,86,25,3,1,0.5083333333333333,255.08649777158828
Gran Canaria,12,113,28.09942,-15.699151,2021-01-23 17:03:36,2026-01-07 14:21:05,0.0,0.49557522123893805,0.504424778761062,0.49557522123893805,0.0,56,0,2,1,0.49557522123893805,188.83985571249715
Gran Canaria,42,111,28.00673,-15.600231,2021-05-25 13:17:30,2026-02-02 13:30:14,0.02702702702702703,0.954954954954955,0.018018018018018018,0.954954954954955,0.02702702702702703,106,3,4,1,0.927927927927928,120.3114922519411
Gran Canaria,28,110,27.9620525,-15.571993,2021-03-12 17:10:35,2025-09-07 08:32:20,0.14545454545454545,0.6636363636363637,0.19090909090909092,0.6636363636363637,0.14545454545454545,73,16,3,1,0.5181818181818183,68.87955659529109
Gran Canaria,63,110,27.887506,-15.564028,2021-12-15 13:24:31,2026-02-01 13:03:23,0.08181818181818182,0.8545454545454545,0.06363636363636363,0.8545454545454545,0.08181818181818182,94,9,4,1,0.7727272727272727,198.74558950140369
Gran Canaria,70,106,27.933327,-15.482397,2022-01-13 11:35:54,2025-12-04 18:49:19,0.1792452830188679,0.7641509433962265,0.05660377358490566,0.7641509433962265,0.1792452830188679,81,19,4,1,0.5849056603773586,145.4461436895624
Gran Canaria,23,90,27.937511999999998,-15.388678500000001,2021-03-06 15:32:33,2026-03-08 10:34:45,0.43333333333333335,0.34444444444444444,0.2222222222222222,0.34444444444444444,0.43333333333333335,31,39,2,2,-0.0888888888888889,351.2984827091685
